12|Sunday, November 27, 2022 at 1:00 PM -0500|Cincinnati Bengals|Tennessee Titans|Nissan Stadium, Nashville
12|Sunday, November 27, 2022 at 1:00 PM -0500|Houston Texans|Miami Dolphins|Hard Rock Stadium, Miami Gardens
12|Sunday, November 27, 2022 at 1:00 PM -0500|Chicago Bears|New York Jets|MetLife Stadium, East Rutherford
12|Sunday, November 27, 2022 at 1:00 PM -0500|Atlanta Falcons|Washington Commanders|FedExField, Landover
12|Sunday, November 27, 2022 at 1:00 PM -0500|Denver Broncos|Carolina Panthers|Bank of America Stadium, Charlotte
12|Sunday, November 27, 2022 at 1:00 PM -0500|Baltimore Ravens|Jacksonville Jaguars|TIAA Bank Field, Jacksonville
12|Sunday, November 27, 2022 at 4:05 PM -0500|Los Angeles Chargers|Arizona Cardinals|State Farm Stadium, Glendale
12|Sunday, November 27, 2022 at 4:05 PM -0500|Las Vegas Raiders|Seattle Seahawks|Lumen Field, Seattle
12|Sunday, November 27, 2022 at 4:25 PM -0500|Los Angeles Rams|Kansas City Chiefs|GEHA Field at Arrowhead Stadium, Kansas City
12|Sunday, November 27, 2022 at 4:25 PM -0500|New Orleans Saints|San Francisco 49ers|Levi's Stadium, Santa Clara
12|Sunday, November 27, 2022 at 8:20 PM -0500|Green Bay Packers|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
12|Monday, November 28, 2022 at 8:15 PM -0500|Pittsburgh Steelers|Indianapolis Colts|Lucas Oil Stadium, Indianapolis
13|Thursday, December 01, 2022 at 8:15 PM -0500|Buffalo Bills|New England Patriots|Gillette Stadium, Foxboro
13|Sunday, December 04, 2022 at 1:00 PM -0500|Pittsburgh Steelers|Atlanta Falcons|Mercedes-Benz Stadium, Atlanta
13|Sunday, December 04, 2022 at 1:00 PM -0500|Green Bay Packers|Chicago Bears|Soldier Field, Chicago
13|Sunday, December 04, 2022 at 1:00 PM -0500|Jacksonville Jaguars|Detroit Lions|Ford Field, Detroit
13|Sunday, December 04, 2022 at 1:00 PM -0500|New York Jets|Minnesota Vikings|U.S. Bank Stadium, Minneapolis
13|Sunday, December 04, 2022 at 1:00 PM -0500|Washington Commanders|New York Giants|MetLife Stadium, East Rutherford
13|Sunday, December 04, 2022 at 1:00 PM -0500|Tennessee Titans|Philadelphia Eagles|Lincoln Financial Field, Philadelphia
13|Sunday, December 04, 2022 at 1:00 PM -0500|Denver Broncos|Baltimore Ravens|M&T Bank Stadium, Baltimore
13|Sunday, December 04, 2022 at 1:00 PM -0500|Cleveland Browns|Houston Texans|NRG Stadium, Houston
13|Sunday, December 04, 2022 at 4:05 PM -0500|Seattle Seahawks|Los Angeles Chargers|SoFi Stadium, Inglewood
13|Sunday, December 04, 2022 at 4:05 PM -0500|Miami Dolphins|San Francisco 49ers|Levi's Stadium, Santa Clara
13|Sunday, December 04, 2022 at 4:25 PM -0500|Kansas City Chiefs|Cincinnati Bengals|Paycor Stadium, Cincinnati
13|Sunday, December 04, 2022 at 4:25 PM -0500|Los Angeles Rams|Las Vegas Raiders|Allegiant Stadium, Las Vegas
13|Sunday, December 04, 2022 at 8:20 PM -0500|Indianapolis Colts|Dallas Cowboys|AT&T Stadium, Arlington
13|Monday, December 05, 2022 at 8:15 PM -0500|New Orleans Saints|Tampa Bay Buccaneers|Raymond James Stadium, Tampa
14|Thursday, December 08, 2022 at 8:15 PM -0500|Las Vegas Raiders|Los Angeles Rams|SoFi Stadium, Inglewood
14|Sunday, December 11, 2022 at 1:00 PM -0500|New York Jets|Buffalo Bills|Highmark Stadium, Orchard Park
14|Sunday, December 11, 2022 at 1:00 PM -0500|Cleveland Browns|Cincinnati Bengals|Paycor Stadium, Cincinnati
